,verylow,low,medium,high,extreme
0,7774,1361,49,0,0
1,8295,889,0,0,0
2,8063,1121,0,0,0
3,6838,2310,36,0,0
4,6657,2527,0,0,0
5,4775,4012,397,0,0
6,2753,4809,1622,0,0
7,2345,4387,2446,6,0
8,3541,3156,2001,486,0
9,2974,2723,2568,919,0
10,4360,3017,1794,13,0
11,6864,2005,315,0,0
12,7849,1335,0,0,0
13,6911,2273,0,0,0
14,8496,688,0,0,0
15,7717,1467,0,0,0
16,5455,3729,0,0,0
17,5423,3759,2,0,0
18,4369,4462,353,0,0
19,4105,4014,1065,0,0
20,4148,2869,2159,8,0
21,4004,3932,1210,38,0
22,2767,4878,1498,41,0
23,5417,3600,167,0,0
24,5503,3542,139,0,0
25,7332,1852,0,0,0
26,8131,1053,0,0,0
27,7120,2064,0,0,0
28,7501,1683,0,0,0
29,4223,4275,686,0,0
30,843,6317,2024,0,0
31,4265,4224,695,0,0
32,2501,2763,3722,198,0
33,4813,3283,1088,0,0
34,5357,3338,489,0,0
35,3729,3914,1541,0,0
36,9086,98,0,0,0
37,4956,4017,211,0,0
38,8860,324,0,0,0
39,5600,3332,252,0,0
40,4431,4712,41,0,0
41,4413,4771,0,0,0
42,1491,6387,1306,0,0
43,5488,3429,267,0,0
44,2769,2742,3618,55,0
45,3002,2724,2445,1013,0
46,2187,4356,2248,393,0
47,7523,1661,0,0,0
48,7850,1328,6,0,0
49,6695,2489,0,0,0
50,8599,585,0,0,0
51,5300,3773,111,0,0
52,6456,2728,0,0,0
53,1334,5376,2474,0,0
54,8158,1025,1,0,0
55,3502,4297,1355,30,0
56,305,2927,3559,2393,0
57,270,2167,5433,1314,0
58,1303,3811,4041,29,0
59,5047,3973,164,0,0
60,6654,2530,0,0,0
61,8357,827,0,0,0
62,8013,1171,0,0,0
63,7168,2016,0,0,0
64,5303,3873,8,0,0
65,5585,3599,0,0,0
66,6394,2790,0,0,0
67,5989,2289,906,0,0
68,3735,2296,3028,125,0
69,2911,2510,3160,603,0
70,5407,2774,1003,0,0
71,7117,2064,3,0,0
72,8780,404,0,0,0
73,4777,4407,0,0,0
74,7954,1229,1,0,0
75,8051,1133,0,0,0
76,7794,1378,12,0,0
77,7506,1678,0,0,0
78,2773,5110,1301,0,0
79,2596,2658,3189,741,0
80,2497,3299,3131,257,0
81,3564,1692,3509,419,0
82,4454,3958,772,0,0
83,8061,1123,0,0,0
84,6983,2201,0,0,0
85,6926,2255,3,0,0
86,5675,3502,7,0,0
87,4523,4634,27,0,0
88,8881,303,0,0,0
89,5840,3113,231,0,0
90,3742,4831,611,0,0
91,4282,2039,2841,22,0
92,3536,3488,2160,0,0
93,3171,2370,3370,273,0
94,4335,3644,1205,0,0
95,7493,1667,24,0,0
96,6139,2786,259,0,0
97,3143,5745,296,0,0
98,7739,1445,0,0,0
99,6223,2961,0,0,0
100,5547,3580,57,0,0
101,6075,3032,77,0,0
102,970,4165,3728,321,0
103,3980,3743,1461,0,0
104,4723,3670,791,0,0
105,1462,4693,3011,18,0
106,4326,3517,1341,0,0
107,6717,2454,13,0,0
108,6303,2881,0,0,0
109,7727,1340,117,0,0
110,7005,2179,0,0,0
111,8788,396,0,0,0
112,5420,3751,13,0,0
113,2872,4616,1696,0,0
114,5013,3706,465,0,0
115,3475,2635,2951,123,0
116,3601,4029,1554,0,0
117,2462,4824,1898,0,0
118,1611,4970,1874,729,0
119,6304,2518,362,0,0
120,5920,3241,23,0,0
121,6116,3068,0,0,0
122,6580,2604,0,0,0
123,8012,1172,0,0,0
124,7127,2057,0,0,0
125,5849,3201,134,0,0
126,7437,1687,60,0,0
127,3674,4900,610,0,0
128,2664,5162,1358,0,0
129,3046,3905,2189,44,0
130,6550,2602,32,0,0
131,4861,4313,10,0,0
132,6808,2359,17,0,0
133,6158,2944,82,0,0
134,6089,3068,27,0,0
135,8517,667,0,0,0
136,7500,1638,46,0,0
137,4367,4817,0,0,0
138,6887,2294,3,0,0
139,5374,2529,1281,0,0
140,2656,4373,2154,1,0
141,3056,3034,3011,83,0
142,4249,3534,1401,0,0
143,6874,2288,22,0,0
144,7583,1601,0,0,0
145,5848,2729,607,0,0
146,6118,3066,0,0,0
147,8726,458,0,0,0
148,8150,1027,7,0,0
149,2364,6820,0,0,0
150,4056,3589,1539,0,0
151,5450,3029,705,0,0
152,4549,3289,1346,0,0
153,2733,5401,1043,7,0
154,2200,5321,1427,236,0
155,7660,1524,0,0,0
156,8043,1141,0,0,0
157,6100,3058,26,0,0
158,7752,1431,1,0,0
159,8802,382,0,0,0
160,7264,1920,0,0,0
161,6014,3170,0,0,0
162,3308,5774,102,0,0
163,4163,3487,1507,27,0
164,3845,2765,2426,148,0
165,4055,2790,2224,115,0
166,3212,3506,2369,97,0
167,5211,3472,501,0,0
168,7972,1212,0,0,0
169,7832,1352,0,0,0
170,6698,2342,144,0,0
171,8394,790,0,0,0
172,6667,2517,0,0,0
173,6736,2424,24,0,0
174,4351,3740,1093,0,0
175,4234,2903,2044,3,0
176,3663,3390,1906,225,0
177,3950,3274,1947,13,0
178,7233,1951,0,0,0
179,8510,674,0,0,0
180,8155,1029,0,0,0
181,9055,129,0,0,0
182,6048,3136,0,0,0
183,9030,154,0,0,0
184,6450,2733,1,0,0
185,6774,2290,120,0,0
186,5989,3173,22,0,0
187,3201,5606,377,0,0
188,4294,1815,2444,631,0
189,2679,3996,2341,168,0
190,3574,5398,212,0,0
191,5949,3235,0,0,0
192,4379,4758,47,0,0
193,4248,4800,136,0,0
194,7498,1679,7,0,0
195,4977,4207,0,0,0
196,8733,451,0,0,0
197,5463,3616,105,0,0
198,3428,4482,1274,0,0
199,4388,3505,1289,2,0
200,4227,4651,306,0,0
201,5261,3356,567,0,0
202,6012,2913,259,0,0
203,7442,1742,0,0,0
204,5837,3347,0,0,0
205,8321,863,0,0,0
206,8545,639,0,0,0
207,9156,28,0,0,0
208,3785,5212,187,0,0
209,8863,321,0,0,0
210,700,5042,3441,1,0
211,3237,2788,3072,87,0
212,2993,1824,1553,2777,37
213,1506,3376,2971,1331,0
214,5440,3741,3,0,0
215,5633,3544,7,0,0
216,4894,4289,1,0,0
217,6949,2235,0,0,0
218,8254,930,0,0,0
219,5962,3222,0,0,0
220,7107,2030,47,0,0
221,8817,364,3,0,0
222,3074,4175,1935,0,0
223,4521,2916,1747,0,0
224,3686,2261,3125,112,0
225,3344,2212,2509,1119,0
226,2088,4817,1995,284,0
227,4513,4537,134,0,0
228,8617,567,0,0,0
229,7191,1993,0,0,0
230,8188,996,0,0,0
231,9156,28,0,0,0
232,6721,2418,45,0,0
233,5757,3427,0,0,0
234,4041,2131,2913,99,0
235,1280,4374,2478,1052,0
236,2793,4542,1849,0,0
237,636,3356,4034,1158,0
238,2116,3892,2709,467,0
239,4688,4483,13,0,0
240,5562,3622,0,0,0
241,5071,4048,65,0,0
242,9060,124,0,0,0
243,7281,1903,0,0,0
244,7248,1934,2,0,0
245,3549,4701,934,0,0
246,4107,3831,1246,0,0
247,5667,2374,1143,0,0
248,3051,4768,1365,0,0
249,3402,4107,1675,0,0
250,5993,2683,508,0,0
251,3310,4586,1275,13,0
252,8480,704,0,0,0
253,5119,3909,156,0,0
254,5020,3759,405,0,0
255,3220,5355,609,0,0
256,3856,3503,1825,0,0
257,4619,4480,85,0,0
258,3533,3457,2194,0,0
259,3332,3606,2177,69,0
260,1177,3103,3413,1416,75
261,2369,3797,2109,909,0
262,3477,3221,2086,400,0
